Human,Assistant
directions to seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
guide me to seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
how to go to the seminar room?,There is the staircase. The seminar room is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then go up throught the stairs ahead. Then you can see the seminar room on your lefthand side.
where is the postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
can you give me the directions to the postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
directions to postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
guide me to postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
how to go to the postgraduate room?,There is the staircase. The postgraduate room is on the fourth floor.
where is the radio room?,There is the staircase. The radio room is on the roof top of the building.
can you give me the directions to the radio room?,There is the staircase. The radio room is on the roof top of the building.
directions to radio room?,There is the staircase. The radio room is on the roof top of the building.
guide me to radio room?,There is the staircase. The radio room is on the roof top of the building.
how to go to the radio room?,There is the staircase. The radio room is on the roof top of the building.
where is the entc one?,There is the ENTC1 hall.
can you give me the directions to the entc 1 hall?,There is the ENTC1 hall.
directions to entc one?,There is the ENTC1 hall.
guide me to entc 1?,There is the ENTC1 hall.
how to go to the entc main hall?,There is the ENTC1 hall.
where is the communication lab?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
can you give me the directions to the communication labpratory?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
directions to communication lab?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
guide me to communication laboratory?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
how to go to the communication lab?,There is the staircase. The communication laboratory is on the third floor. Once you reach to the third floor go through the passage on your right hand side. Then turn left and go towards the end of the passage. Then you can see the communication laboratory infront of you.
where is the department heads office?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
can you give me the directions to the office of the head of department?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
directions to department heads office?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
guide me to the office of the head of department?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
how to go to the department heads office?,There is the staircase. The office of the head of department is on the first floor. Once you reach to the first floor go through the passage on your right hand side. Then turn right and go towards the end of the passage. Then you can see the office of the head of department on your lefthand side.
where is the computer laboratory?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
can you give me the directions to the computer lab?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
directions to computer laboratory?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
guide me to computer lab?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
how to go to the computer laboratory?,There is the staircase. The computer laboratory is on the first floor. Once you reach to the first floor you can see the computer laboratory on your lefthand side.
